IDfg,Name,Age,Team,Position,fantasy_points_pred,projected_fantasy_points,final_projection,initial_rank,position_group,position_rank,replacement_value,z_score_value,vorp,relative_value,pos_adjustment,overall_ranking
12564.0,Trevor Story,32.0,BOS,SS,947.4679565429688,1169.0,1013.9275390625,58.0,IF,57,979.8640258789062,-445.69844603715416,34.06351318359384,-205.81746642678016,1.0,173
29715.0,Hunter Goodman,25.0,COL,C,967.150634765625,1117.0,1012.1054321289062,59.0,IF,58,979.8640258789062,-457.8864315987268,32.241406249999955,-212.82251267436342,1.0,175
19608.0,Otto Lopez,26.0,MIA,2B,989.0404663085938,1049.0,1007.0283081054688,60.0,IF,59,979.8640258789062,-491.6003564741807,27.16428222656259,-232.21803712380907,1.0,181
15491.0,J.P. Crawford,30.0,SEA,SS,1003.2125244140625,1011.0,1005.548779296875,61.0,IF,60,979.8640258789062,-501.35663351398057,25.68475341796875,-237.8359400480059,1.0,184
16556.0,Ozzie Albies,28.0,ATL,2B,955.94677734375,1118.0,1004.5627197265625,62.0,IF,61,979.8640258789062,-507.8417626100446,24.698693847656273,-241.57153438119417,1.0,185
29646.0,Caleb Durbin,25.0,MIL,2B,991.1111450195312,1014.0,997.9777709960938,63.0,IF,62,979.8640258789062,-550.7985970504823,18.11374511718759,-266.34242596664734,1.0,192
24679.0,Brendan Donovan,28.0,STL,2B,980.9164428710938,1018.0,992.0414794921875,64.0,IF,63,979.8640258789062,-589.0003997190502,12.177453613281273,-288.41147305288445,1.0,199
10324.0,Marcell Ozuna,34.0,,DH,973.8812866210938,1034.0,991.9169189453125,65.0,IF,64,979.8640258789062,-589.7966666466976,12.052893066406341,-288.87188679014565,1.0,201
19197.0,Will Smith,30.0,LAD,C,986.3984375,1004.0,991.6788818359375,66.0,IF,65,979.8640258789062,-591.3177370025846,11.814855957031341,-289.75144052277665,1.0,202
26546.0,Agustin Ramirez,23.0,MIA,C,992.8645629882812,983.0,989.9051879882812,67.0,IF,66,979.8640258789062,-602.6266075013833,10.041162109375023,-296.29272269600415,1.0,203
33266.0,Jacob Wilson,23.0,ATH,SS,955.8057861328125,1036.0,979.8640258789062,68.0,IF,67,979.8640258789062,-665.8123394541173,0.0,-332.9061697270586,1.0,213
24262.0,Ceddanne Rafaela,24.0,BOS,2B,929.0986328125,1086.0,976.1690185546875,69.0,IF,68,979.8640258789062,-688.7063230306005,-3.69500732421875,-346.20066517740963,1.0,217
12533.0,Marcus Semien,34.0,NYM,2B,887.044189453125,1181.0,975.230908203125,70.0,IF,69,979.8640258789062,-694.4881705415274,-4.63311767578125,-349.56064410865434,1.0,219
21711.0,Oneil Cruz,26.0,PIT,SS,896.2283325195312,1151.0,972.6598022460937,71.0,IF,70,979.8640258789062,-710.271097567133,-7.2042236328125,-358.73766059997274,1.0,222
33189.0,Nolan Schanuel,23.0,LAA,1B,923.3857421875,1075.0,968.8699951171875,72.0,IF,71,979.8640258789062,-733.3653238280712,-10.994030761718705,-372.17967729489493,1.0,226
31539.0,Drake Baldwin,24.0,ATL,C,976.0807495117188,952.0,968.8565307617187,73.0,IF,72,979.8640258789062,-733.4470118848512,-11.007495117187545,-372.2272535010194,1.0,227
22266.0,Xavier Edwards,25.0,MIA,2B,915.4171142578125,1078.0,964.1919921875,74.0,IF,73,979.8640258789062,-761.5930131587805,-15.672033691406227,-388.6325234250934,1.0,233
18568.0,Luis Arraez,28.0,,DH,923.2468872070312,1045.0,959.7728271484375,75.0,IF,74,979.8640258789062,-787.9756877778235,-20.091198730468705,-404.0334432541461,1.0,236
33322.0,Matt Shaw,23.0,CHC,2B,917.1494750976562,1055.0,958.504638671875,76.0,IF,75,979.8640258789062,-795.4960468882474,-21.359387207031205,-408.4277170476393,1.0,238
24598.0,Addison Barger,25.0,TOR,3B,979.4410400390625,885.0,951.1087036132812,77.0,IF,76,979.8640258789062,-838.9026226697777,-28.755322265624955,-433.8289724677013,1.0,247
14162.0,Carlos Correa,30.0,HOU,3B,920.153564453125,1012.0,947.7074829101562,78.0,IF,77,979.8640258789062,-858.605656682712,-32.156542968750045,-445.38109982573104,1.0,250
12161.0,Xander Bogaerts,32.0,SD,2B,867.0557861328125,1127.0,945.0390258789062,79.0,IF,78,979.8640258789062,-873.9497644262766,-34.825000000000045,-454.3873822131383,1.0,252
27479.0,Masyn Winn,23.0,STL,SS,881.6966552734375,1092.0,944.7876220703124,80.0,IF,79,979.8640258789062,-875.3902113212844,-35.076403808593795,-455.2333075649391,1.0,254
21618.0,Alec Bohm,28.0,PHI,1B,887.4977416992188,1055.0,937.7484130859375,81.0,IF,80,979.8640258789062,-915.3607033860275,-42.115612792968705,-478.7381580894981,1.0,256
20178.0,Miguel Vargas,25.0,CWS,1B,874.228271484375,1076.0,934.7597778320312,82.0,IF,81,979.8640258789062,-932.1198818685675,-45.104248046875,-488.61206495772126,1.0,258
